-35.74, -1.37, 44.88, 0.31, 7.34, -4.25, 0.09, -0.55, 9.6, 5.58, -76.81, -167.32, -4.59, -28.97, -57.3
-41.19, 5.31, 44.97, 7.52, 3.47, -4.25, 0.09, -7.93, 9.6, 5.32, -76.81, -146.31, -12.59, -26.24, 39.05
-59.74, 19.2, 45.67, -4.26, -1.63, -4.25, 0.09, -8.64, 9.69, 5.32, -76.81, -143.32, -2.84, -6.02, 39.67
-63.16, 31.07, 45.85, -18.51, -8.4, -4.25, -0.5, -8.55, 9.69, 5.41, -76.81, -151.49, -1.78, 8.48, 35.27
-61.58, 22.01, 45.41, -8.31, 1.63, -4.25, 0.09, -8.64, 9.52, 5.32, -76.81, -141.56, -5.82, 3.74, 48.29
-62.29, 19.11, 44.97, -1.01, 7.16, -4.25, 0.09, -13.65, 8.99, 5.23, -76.81, -134.62, -9.78, 10.15, 49.43
-4.7, -5.95, 37.14, 9.36, 14.37, -4.25, 0.09, -2.57, 6.62, 5.32, -76.81, -138.04, 1.03, 39.87, -0.24
37.49, -10.34, 62.64, 7.69, 25.36, -4.25, 0.09, -33.6, 1.34, 5.32, -76.81, -103.23, 1.12, 29.67, 68.95
7.43, -1.55, 62.81, 4.44, 26.24, -4.25, 0.09, -28.59, 1.25, 5.32, -76.81, -114.66, 0.68, 34.15, 65.52
-11.56, 19.81, 75.74, -5.41, 8.4, -4.25, 0.09, -29.03, 1.52, 5.23, -76.81, -106.92, 6.22, 23.87, 66.31
45.32, -10.43, 37.32, 34.07, 41.19, -4.25, 0.09, -36.33, 1.69, 5.32, -76.81, -106.4, 11.41, 35.65, 64.29
-14.29, 8.03, 49.27, 7.43, 4.44, -4.25, 0.09, -17.52, 12.15, 5.23, -76.81, -141.21, 11.41, 39.08, 56.37
-37.23, 23.59, 47.34, 16.57, -10.33, -4.25, 0.09, -27.8, 12.07, 5.23, -76.81, -118.79, 13.16, 31.16, 57.87
46.55, 11.55, 36.35, 29.05, 6.73, -4.55, 0.09, -16.02, 12.42, 5.32, -76.81, -141.03, 15.27, 42.42, 52.15
-4.18, 20.43, 27.74, 29.93, -24.75, -4.55, 0.38, -11.36, 19.89, 5.58, -76.81, -159.49, 16.86, 39.96, 38.62
-18.68, 24.38, 26.95, 25.01, -35.21, -4.25, 0.38, -12.33, 28.68, 5.58, -76.81, -167.05, 10.62, 2.68, 30.18
